sn,symbol,ltp,point change,change,open,high,low,volume,close
71,GRDBL,329.80,-4.20,-1.26,328.00,340.00,326.10,"5,238.00",334.00
72,GUFL,543.00,-12.00,-2.16,545.00,577.00,543.00,"31,533.00",555.00
73,GVL,423.00,4.00,0.95,412.10,445.00,412.00,"75,865.00",419.00
74,HATHY,832.10,-90.90,-9.85,904.60,925.00,830.70,"344,954.00",923.00
75,HBL,210.80,-1.20,-0.57,213.00,220.00,209.50,"61,806.00",212.00
76,HBLD83,999.70,0.00,0.00,999.70,999.70,999.70,30.00,999.70
77,HBLD86,981.20,5.70,0.58,995.00,995.00,981.20,100.00,975.50
78,HDHPC,146.00,-7.80,-5.07,156.80,156.80,144.50,"666,643.00",153.80
79,HDL,"1,925.00",-142.00,-6.87,"2,067.00","2,078.00","1,917.00","77,363.00","2,067.00"
80,HEI,606.30,-2.70,-0.44,597.00,626.20,597.00,"54,782.00",609.00
81,HEIP,391.00,-23.00,-5.56,405.80,405.80,390.20,"1,780.00",414.00
82,HHL,383.50,30.50,8.64,346.00,387.00,317.70,"109,984.00",353.00
83,HIDCL,188.00,-8.90,-4.52,197.00,200.80,187.50,"247,365.00",196.90
84,HIDCLP,109.00,-4.80,-4.22,112.00,114.20,108.00,"275,449.00",113.80
85,HLBSL,598.90,-1.10,-0.18,600.00,620.00,588.00,"10,706.00",600.00
86,HLI,452.00,-10.00,-2.16,462.00,470.00,446.00,"199,783.00",462.00
87,HPPL,244.00,6.00,2.52,242.00,252.40,233.30,"37,069.00",238.00
88,HURJA,259.50,6.20,2.45,253.00,267.70,252.00,"46,823.00",253.30
89,ICFC,485.40,-13.60,-2.73,499.00,499.00,484.00,"35,347.00",499.00
90,IGI,573.90,16.90,3.03,566.00,591.00,560.00,"196,128.00",557.00
91,IHL,292.90,-2.10,-0.71,295.00,300.60,284.30,"27,518.00",295.00
92,ILBS,639.00,-11.00,-1.69,650.00,702.00,630.00,"4,162.00",650.00
93,ILI,590.00,23.40,4.13,566.00,620.00,564.00,"319,125.00",566.60
94,JALPA,"1,170.00",-35.00,-2.90,"1,190.00","1,190.00","1,151.00","1,975.00","1,205.00"
95,JBBD87,900.00,-100.00,-10.00,900.00,900.00,900.00,525.00,"1,000.00"
96,JBBL,296.60,-9.20,-3.01,304.00,311.00,296.60,"91,077.00",305.80
97,JBBLPO,152.00,0.00,0.00,152.00,152.00,152.00,"73,780.00",152.00
98,JBLB,"1,483.00",-41.00,-2.69,"1,530.00","1,530.00","1,480.00","7,107.00","1,524.00"
99,JFL,366.90,-2.10,-0.57,370.00,375.00,366.60,"10,078.00",369.00
100,JOSHI,230.50,-2.50,-1.07,233.00,243.50,228.50,"21,597.00",233.00
101,JSLBB,904.00,-15.00,-1.63,901.60,919.50,897.20,946.00,919.00
102,KBL,162.00,-2.10,-1.28,164.10,167.00,161.50,"170,471.00",164.10
103,KBLD89,"1,020.00",18.80,1.88,"1,020.00","1,020.00","1,020.00",295.00,"1,001.20"
104,KBSH,918.00,25.00,2.80,878.00,966.40,861.00,"4,616.00",893.00
